id,startTime,week,visTeam,homeTeam,created_at,updated_at
3_BUF_LAR,2020-09-27 01:00 PM,3,BUF,LAR,2020-11-12 03:39:48,2020-11-12 03:39:48
3_CAR_LAC,2020-09-27 04:05 PM,3,CAR,LAC,2020-11-12 03:39:48,2020-11-12 03:39:48
3_CHI_ATL,2020-09-27 01:00 PM,3,CHI,ATL,2020-11-12 03:39:48,2020-11-12 03:39:48
3_CLE_WAS,2020-09-27 01:00 PM,3,CLE,WAS,2020-11-12 03:39:48,2020-11-12 03:39:48
3_DET_ARI,2020-09-27 04:25 PM,3,DET,ARI,2020-11-12 03:39:48,2020-11-12 03:39:48
3_GB_NO,2020-09-27 08:20 PM,3,GB,NO,2020-11-12 03:39:48,2020-11-12 03:39:48
3_IND_NYJ,2020-09-27 04:05 PM,3,IND,NYJ,2020-11-12 03:39:48,2020-11-12 03:39:48
3_KC_BAL,2020-09-28 08:15 PM,3,KC,BAL,2020-11-12 03:39:48,2020-11-12 03:39:48
3_MIA_JAX,2020-09-24 08:20 PM,3,MIA,JAX,2020-11-12 03:39:48,2020-11-12 03:39:48
3_NE_LV,2020-09-27 01:00 PM,3,NE,LV,2020-11-12 03:39:48,2020-11-12 03:39:48
3_PHI_CIN,2020-09-27 01:00 PM,3,PHI,CIN,2020-11-12 03:39:48,2020-11-12 03:39:48
3_PIT_HOU,2020-09-27 01:00 PM,3,PIT,HOU,2020-11-12 03:39:48,2020-11-12 03:39:48
3_SEA_DAL,2020-09-27 04:25 PM,3,SEA,DAL,2020-11-12 03:39:48,2020-11-12 03:39:48
3_SF_NYG,2020-09-27 01:00 PM,3,SF,NYG,2020-11-12 03:39:49,2020-11-12 03:39:49
3_TB_DEN,2020-09-27 04:25 PM,3,TB,DEN,2020-11-12 03:39:48,2020-11-12 03:39:48
3_TEN_MIN,2020-09-27 01:00 PM,3,TEN,MIN,2020-11-12 03:39:48,2020-11-12 03:39:48
4_BAL_WAS,2020-10-04 01:00 PM,4,BAL,WAS,2020-11-12 03:39:48,2020-11-12 03:39:48
4_BUF_LV,2020-10-04 04:25 PM,4,BUF,LV,2020-11-12 03:39:48,2020-11-12 03:39:48
4_CAR_ARI,2020-10-04 01:00 PM,4,CAR,ARI,2020-11-12 03:39:48,2020-11-12 03:39:48
4_CIN_JAX,2020-10-04 01:00 PM,4,CIN,JAX,2020-11-12 03:39:48,2020-11-12 03:39:48
4_CLE_DAL,2020-10-04 01:00 PM,4,CLE,DAL,2020-11-12 03:39:48,2020-11-12 03:39:48
4_DEN_NYJ,2020-10-01 08:20 PM,4,DEN,NYJ,2020-11-12 03:39:48,2020-11-12 03:39:48
4_GB_ATL,2020-10-05 08:15 PM,4,GB,ATL,2020-11-12 03:39:48,2020-11-12 03:39:48
4_IND_CHI,2020-10-04 01:00 PM,4,IND,CHI,2020-11-12 03:39:48,2020-11-12 03:39:48
4_KC_NE,2020-10-05 07:05 PM,4,KC,NE,2020-11-12 03:39:48,2020-11-12 03:39:48
4_LAR_NYG,2020-10-04 04:05 PM,4,LAR,NYG,2020-11-12 03:39:48,2020-11-12 03:39:48
4_MIN_HOU,2020-10-04 01:00 PM,4,MIN,HOU,2020-11-12 03:39:49,2020-11-12 03:39:49
4_NO_DET,2020-10-04 01:00 PM,4,NO,DET,2020-11-12 03:39:48,2020-11-12 03:39:48
4_PHI_SF,2020-10-04 08:20 PM,4,PHI,SF,2020-11-12 03:39:48,2020-11-12 03:39:48
4_SEA_MIA,2020-10-04 01:00 PM,4,SEA,MIA,2020-11-12 03:39:48,2020-11-12 03:39:48
4_TB_LAC,2020-10-04 01:00 PM,4,TB,LAC,2020-11-12 03:39:48,2020-11-12 03:39:48
5_ARI_NYJ,2020-10-11 01:00 PM,5,ARI,NYJ,2020-11-12 03:39:48,2020-11-12 03:39:48
5_BAL_CIN,2020-10-11 01:00 PM,5,BAL,CIN,2020-11-12 03:39:48,2020-11-12 03:39:48
5_CAR_ATL,2020-10-11 01:00 PM,5,CAR,ATL,2020-11-12 03:39:48,2020-11-12 03:39:48
5_CHI_TB,2020-10-08 08:20 PM,5,CHI,TB,2020-11-12 03:39:48,2020-11-12 03:39:48
5_CLE_IND,2020-10-11 04:25 PM,5,CLE,IND,2020-11-12 03:39:48,2020-11-12 03:39:48
5_DAL_NYG,2020-10-11 04:25 PM,5,DAL,NYG,2020-11-12 03:39:48,2020-11-12 03:39:48
5_HOU_JAX,2020-10-11 01:00 PM,5,HOU,JAX,2020-11-12 03:39:48,2020-11-12 03:39:48
5_LAR_WAS,2020-10-11 01:00 PM,5,LAR,WAS,2020-11-12 03:39:48,2020-11-12 03:39:48
5_LV_KC,2020-10-11 01:00 PM,5,LV,KC,2020-11-12 03:39:48,2020-11-12 03:39:48
5_MIA_SF,2020-10-11 04:05 PM,5,MIA,SF,2020-11-12 03:39:48,2020-11-12 03:39:48
5_NO_LAC,2020-10-12 08:15 PM,5,NO,LAC,2020-11-12 03:39:48,2020-11-12 03:39:48
5_PIT_PHI,2020-10-11 01:00 PM,5,PIT,PHI,2020-11-12 03:39:48,2020-11-12 03:39:48
5_SEA_MIN,2020-10-11 08:20 PM,5,SEA,MIN,2020-11-12 03:39:48,2020-11-12 03:39:48
5_TEN_BUF,2020-10-13 07:00 PM,5,TEN,BUF,2020-11-12 03:39:48,2020-11-12 03:39:48
6_ARI_DAL,2020-10-19 08:15 PM,6,ARI,DAL,2020-11-12 03:39:48,2020-11-12 03:39:48
6_ATL_MIN,2020-10-18 01:00 PM,6,ATL,MIN,2020-11-12 03:39:48,2020-11-12 03:39:48
6_BAL_PHI,2020-10-18 01:00 PM,6,BAL,PHI,2020-11-12 03:39:48,2020-11-12 03:39:48
6_CHI_CAR,2020-10-18 01:00 PM,6,CHI,CAR,2020-11-12 03:39:48,2020-11-12 03:39:48
6_CIN_IND,2020-10-18 01:00 PM,6,CIN,IND,2020-11-12 03:39:48,2020-11-12 03:39:48
6_CLE_PIT,2020-10-18 01:00 PM,6,CLE,PIT,2020-11-12 03:39:48,2020-11-12 03:39:48
6_DEN_NE,2020-10-18 01:00 PM,6,DEN,NE,2020-11-12 03:39:48,2020-11-12 03:39:48
6_DET_JAX,2020-10-18 01:00 PM,6,DET,JAX,2020-11-12 03:39:48,2020-11-12 03:39:48
6_GB_TB,2020-10-18 04:25 PM,6,GB,TB,2020-11-12 03:39:48,2020-11-12 03:39:48
6_HOU_TEN,2020-10-18 01:00 PM,6,HOU,TEN,2020-11-12 03:39:48,2020-11-12 03:39:48
6_KC_BUF,2020-10-19 05:00 PM,6,KC,BUF,2020-11-12 03:39:48,2020-11-12 03:39:48
6_LAR_SF,2020-10-18 08:20 PM,6,LAR,SF,2020-11-12 03:39:48,2020-11-12 03:39:48
